date,latitude,longitude,depth_m,temperature_C,salinity,dissolved_inorganic_carbon,alkalinity,pH_insitu,pH_25C
25-08-1973,34.175,-127.9,1,17.6,33.085,1969.7,2209.4,8.085,7.9733
30-08-1973,33.1,-139.57,7,21.751,34.646,1987.7,2287.4,8.1005,8.0515
05-09-1973,31.378,-150.03,2,23.56,34.881,1987.7,2294.4,8.0804,8.0587
08-09-1973,22.16,-153.84,10,25.5,35.173,1970.7,2347.4,8.1491,8.157
18-09-1973,30,-159.84,7,25.241,35.471,1957.7,2325.4,8.1399,8.1438
25-09-1973,32.025,-177,8,25.759,34.746,1941.7,2277.4,8.0994,8.1112
08-10-1973,53.105,-177.31,5,7.107,33.069,2064.7,2244.4,8.1093,7.8381
14-10-1973,45.228,169.43,5,10.724,32.966,2001.7,2227.4,8.1596,7.942
16-10-1973,40.167,160.5,2,15.865,33.827,1937.7,2249.4,8.228,8.0878
20-10-1973,34.972,151.84,1,22.472,34.523,1910.7,2271.4,8.1932,8.1546
24-10-1973,34.258,141.97,1,23.846,34.505,1903.7,2266.4,8.1764,8.1588
09-11-1973,30.567,170.64,8,24.73,35.055,1921.7,2285.4,8.1536,8.1498
15-11-1973,19.017,169.35,1,27.73,34.938,1896.7,2288.4,8.1511,8.1927
21-11-1973,14.108,-178.63,4,27.22,34.632,1890.7,2281.4,8.1624,8.1964
26-11-1973,18.217,-169.13,4,26.541,34.656,1913.7,2278.4,8.1339,8.1575
06-12-1973,16.758,-161.33,3,25.85,34.262,1901.7,2233.4,8.1053,8.1183
08-12-1973,12.503,-165.43,3,26.41,34.203,1990.7,2225.4,7.9265,7.9474
10-12-1973,8.197,-167.07,9,27.11,34.894,1920.7,2267.4,8.0959,8.1281
15-12-1973,3.385,-177.18,3,27.42,35.076,1943.7,2301.4,8.1002,8.137
17-12-1973,4.562,179,4,27.18,35.123,1965.7,2307.4,8.0773,8.1104
21-12-1973,0,179,10,25.862,35.196,1979.7,2321.4,8.0934,8.1068
24-12-1973,-4.567,179,4,27.717,35.646,1986.7,2341.4,8.0772,8.1184
26-12-1973,-8.483,-178.1,1,28.57,34.486,1881.7,2267.4,8.139,8.1934
05-01-1974,-10.175,-169.97,6,28.33,34.771,1891.7,2292.4,8.1561,8.2072
10-01-1974,-16.697,-167.06,2,28.6,34.64,1900.7,2291.4,8.1395,8.1945
14-01-1974,-17.775,-164.99,5,28.433,35.219,1935.7,2328.4,8.1308,8.1832
16-01-1974,-19.255,-171.41,5,28.34,34.931,1909.7,2294.4,8.1304,8.1814
17-01-1974,-20.508,-172.81,5,27.91,35.409,1911.7,2320.4,8.1609,8.2055
18-01-1974,-23.963,-174.52,6,27.26,35.418,1933.7,2320.4,8.139,8.1736
22-01-1974,-29.952,-175.73,6,23.74,35.527,1985.7,2349.4,8.152,8.133
26-01-1974,-36.52,-179.6,7,19.812,35.666,2001.7,2336.4,8.1672,8.0883
10-02-1974,-57.517,169.78,3,5.58,33.88,2082.7,2284.4,8.1704,7.8732
14-02-1974,-61.483,169.97,9,2.24,33.963,2121.7,2285.4,8.1333,7.7867
17-02-1974,-66.083,173.67,2,0.3,33.907,2144.7,2288.4,8.1135,7.7378
19-02-1974,-69.3,-173.5,2,-1.07,33.377,2106.7,2261.4,8.1734,7.7728
01-03-1974,-52.583,-178.03,3,11.328,34.419,2022.7,2282.4,8.1923,7.983
21-03-1974,-41.558,-166.83,1,15.32,34.865,2020.7,2308.4,8.1723,8.0245
23-03-1974,-38.38,-170.07,2,18.21,34.93,2004.7,2290.4,8.1257,8.0227
26-03-1974,-35.667,-166.78,1,20.34,35.314,1985.7,2315.4,8.1589,8.0879
19-04-1974,-18.862,-126.6,2,25.45,36.545,2022.7,2402.4,8.1279,8.1348
20-04-1974,-23.633,-127.15,3,25.94,36.557,2020.7,2408.4,8.1309,8.1453
23-04-1974,-28.5,-127.78,10,23.14,35.671,1984.7,2336.4,8.1425,8.1145
24-04-1974,-33.343,-128.4,2,19.65,34.648,2009.7,2288.4,8.0954,8.0146
27-04-1974,-38.8,-129.37,2,16.8,34.049,1976.7,2254.4,8.1501,8.0254
29-04-1974,-43.008,-129.95,2,12.8,34.202,2037.7,2267.4,8.1156,7.9307
07-05-1974,-23.008,-146.07,6,26.556,35.948,1967.7,2361.4,8.1457,8.1696
20-05-1974,-14.053,-126.26,2,25.737,35.628,2008.7,2339.4,8.0697,8.0809
21-05-1974,-9.28,-125.54,5,26.34,35.288,1996.7,2310.4,8.0415,8.0618
23-05-1974,-4.633,-125.13,10,26.428,35.137,1987.7,2307.4,8.0522,8.0741
27-05-1974,0.063,-124.57,4,24.885,35.182,2009.7,2300.4,8.0276,8.026
29-05-1974,4.847,-124.08,1,27.01,34.604,1942.7,2264.4,8.0611,8.0915
01-06-1974,10.477,-123.64,0,26.81,34.226,1893.7,2242.4,8.1167,8.1442
08-06-1991,34.598,-134.96,1.2907,15.915,33.068,1989.4,2233.9,8.1168,7.9792
09-06-1991,33.065,-135,1.4894,17.24,33.682,2003,2251,8.093,7.9758
11-06-1991,30.033,-134.95,1.3905,18.452,34.669,2024.3,2305.2,8.115,8.0158
12-06-1991,28.498,-135,1.5893,18.462,34.633,2022.5,2299,8.1083,8.0093
13-06-1991,27,-135,1.1921,19.829,35.076,2015.3,2320.4,8.1285,8.05
14-06-1991,25.498,-135,0.89418,20.504,35.087,2010.5,2319.6,8.1248,8.0566
15-06-1991,23.998,-135,0.59618,21.359,34.911,1992.9,2307,8.1244,8.0691
16-06-1991,22.498,-135,0.99374,21.658,34.876,1982.4,2302.2,8.1303,8.0796
17-06-1991,21.008,-135,0.19877,21.496,34.902,1994.2,2303.2,8.1144,8.0613
18-06-1991,19.5,-135,0.39757,22.444,34.739,1978.7,2291.9,8.111,8.0722
